listing_id,id,date,comments
44077,419600626,3/4/2019,We had a great stay at the cottage. We loved the warm beds after a chilly day of activities. Quiet neighborhood which has train or bus services into the city.  Teresa and Hugh made us feel like we were staying with family.
44077,421384918,3/9/2019,"Teresa and her husband are a wonderful and warm couple! The apartment is great, you feel like at home and the atmosphere was great because Teresa treated us really well. The location is perfect and thanks to all the information and tips from Teresa you can experience Dublin from its best side! If we go back to Ireland or Dublin, then one hundred percent to Teresa! 

ps

leaving and love you, Teresa"
44077,427270205,3/23/2019,Great place to stay if you want the experience of a local.
44077,430911992,3/31/2019,Very welcoming home and kind hosts. We had a very good stay and enjoyed our time at Teresa's home.
44077,438341286,4/16/2019,Welcoming and flexible host. Nice stay in Dublin.
44077,441835235,4/22/2019,"Lovely couple, who took good care of us. We really had a pleasant stay in Dublin."
44077,449680710,5/7/2019,"Would 10/10 recommend Teresas place if you are going to Dublin! A 20 minute tram ride into the city centre, located in a beautiful neighbourhood. Teresa was thoughtful, quick to respond and always available for anything we needed - a truly lovely host."
44077,455221465,5/19/2019,"Staying at Teresa's was like staying with family...she was s wonderful hostess!!
When visiting Ireland again will definitely choose Teresa's cozy Irish cottage!"
44077,456773038,5/22/2019,All was wonderful. All the details were present and we had a really good stay in Ireland. The place is really calm and Teresa and her husband were really friendly with us at every moment
44077,464333677,6/5/2019,"Teresa's space is very comfortable, extremely clean, and very cozy. 
It was my first week in Dublin and I had only good experiences. Close to the house there are some pubs, and a shopping center with two malls. The train station is 10 minutes walking distance and there is a bus stop in front of the house. Teresa and her husband are kind and very special people, they did everything to make us feel at home, starting with a good hot tea when we arrived.

Highly recommend the stay. : )"
44077,467905984,6/11/2019,"Amazing, warm, gracious hosts!"
44077,469294935,6/14/2019,"The airbnb was perfect, with an amazing breakfast, they were really simphatic and with a great hospitality, giving advises and everything to a great days, I really recommend"
44077,476547578,6/26/2019,"Teresa and Hugh were so nice and helpful. Teresa sent us information about buses and trams before we arrived, so we knew exactly how to get to their house and how to get around Dublin. I would recommend a stay here."
44077,484147211,7/8/2019,Very happy with my stay over the weekend. Went for longitude only really there for sleep but lovely hosts very friendly with great comfortable rooms. Would definitely stay again.
44077,494533622,7/24/2019,"Teresa and her husband are great hosts who always had a helping hand for us. Their house lies in a safe and quiet neighbourhood, which can be reached by LUAS (and a short walk) from Dublin centre within 25-30 minutes. 

The house and the room, we lived in, had everything we needed for a short stay in this wonderful city. The room was fully equipped as was the kitchen and the bathroom, everything is as given in the descriptions, it's tidy and really nice. 

Thank you for a lovely time in the ""holy cottage"" in Dundrum/ Dublin!
We loved staying there and would always recommend to also do so when going to Dublin!"
44077,504701668,8/8/2019,"Churchtown,  aka dumdum is about 15-30 minutes from the city centre of Dublin depending on which public transit you take,  which is so easy to get to within minimum walking distance. Ms. Teresa's cottage is quaint and very comfortable. You feel like you belong there automatically. Spacious one room accommodation that is clean and super comfortable. Shared space in the kitchen and bathroom for now more than six total guests at a time. Their backyard garden is amazing and so great to sit, enjoy a cup of tea with fresh fruit or toast and jam that is provided daily. Muffins and cereals as well are usually on the menu. This was such a great time, I can't wait to go back!"
